CMS Code,Quant Budget,proj year,proj date,Project Type
SLOC01,3e3,In 2016,Mar 2016,Other
SLOC10,2e3,In 2016,Mar 2016,Other
SLOC10,5e3,In 2016,Apr 2016,LDI
SLOC10,5e3,In 2016,Nov 2016,LDI
SLOC10 (joined up valn),15e3,In 2014,Apr 2014,ALM
Sodexo,15e3,In 2014,Sep 2014,ALM
Sodexo,2e3,In 2014,Sep 2014,Structure
STDL10,15e3,In 2014,Mar 2014,ALM
STDL10,15e3,In 2015,Jan 2015,ALM
STDL10,1500.0,In 2015,Aug 2015,3DA
STDL10,2e3,In 2015,Sep 2015,LDI
STDL10,5e3,In 2016,Mar 2016,LDI
STDL10,1e4,In 2016,May 2016,Other
STFD01,7500.0,In 2016,Mar 2016,ALM
STFD01,3e3,In 2016,Mar 2016,ALM
STFD01,2500.0,In 2016,Jun 2016,ALM
STFD01,7e3,In 2016,Nov 2016,ALM
STMO10 (St Modwen funnel),3e3,In 2014,Sep 2014,ALM
STRC01,15e3,In 2015,Jan 2015,ALM
STRC01,5e3,In 2015,Oct 2015,LDI
STRC01,7500.0,In 2016,Mar 2016,ALM
STRC01 - Main fund,1500.0,In 2015,Nov 2015,3DA
STRC01 (stage 1),15e3,In 2014,Oct 2014,ALM
STRC01 compass (2nd stage),15e3,In 2014,Nov 2014,ALM
STRC01- No.3 fund,1500.0,In 2015,Nov 2015,3DA
STRC10,1e4,In 2016,Jun 2016,Other
SUFF01,7500.0,In 2016,Mar 2016,ALM
SUFF01,3500.0,In 2016,Mar 2016,ALM
SURR01,3500.0,In 2016,Nov 2016,ALM
